n,M,c,limit_p1_squared,spectral_lower,srm,q_l1,lambda_max,helstrom_upper,rank,hypothesis_count,rank_threshold,gram_lambda_min,gram_lambda_max,weighted_gram_lambda_min,weighted_gram_lambda_max,prior_min,prior_max,solver,cvxpy_version,primal_status,dual_status,primal_objective,dual_objective,signed_gap,absolute_gap,relative_signed_gap,relative_gap,primal_equality_residual_fro_raw,primal_equality_residual_fro,primal_equality_residual_op,primal_psd_violation,dual_psd_violation,complementarity_residual,primal_feasible_objective,dual_feasible_objective,feasible_bound_gap,relative_feasible_bound_gap,primal_safety_contraction,primal_regularization_floor,dual_safety_shift,dual_feasible_min_slack,primal_feasible_equality_residual_fro,primal_feasible_equality_residual_op,primal_feasible_psd_violation,primal_feasible_min_eigenvalue,dual_feasible_psd_violation,primal_feasible_combined_violation,primal_iterations,dual_iterations,primal_solve_time_seconds,dual_solve_time_seconds,sdp_lower,sdp_upper,sdp_opt,sdp_status,sdp_lower_minus_srm,sdp_upper_minus_srm,sdp_minus_srm,sdp_minus_limit,product_srm,product_spectral_lower
3,6,0.8,0.3374121536925639,0.5986153303337287,0.5997849240084755,0.03682831004108053,4.439842899596878,0.6762160220047869,6,6,1e-12,0.03907157723120538,4.439842899596878,0.006511929538534181,0.7399738165994798,0.16666666666666666,0.16666666666666666,CLARABEL,1.9.2,optimal,optimal,0.6003201848906705,0.600320186853567,1.9628965119977693e-09,1.9628965119977693e-09,3.2697493074402613e-09,3.2697493074402613e-09,4.771893560273849e-16,1.3833621538540092e-16,2.9636581938466984e-16,3.0179982777951336e-10,8.789174989978547e-11,1.9628963395507286e-09,0.6003201847908954,0.6003201873829638,2.5920683377478326e-09,4.317809725246332e-09,0.999999999997611,3.4106051336333256e-13,8.823281041295032e-11,3.410456952745702e-13,1.734322979398049e-16,1.2276473823289752e-16,0.0,3.410317588505747e-13,0.0,1.2276473823289752e-16,10,11,0.04298880009446293,0.030228000017814338,0.6003201847908954,0.6003201873829638,0.6003201873829638,optimal,0.000535260782419944,0.0005352633744882818,0.0005352633744882818,0.2629080336903999,0.6174661985621849,0.6153658353857364
4,10,0.8,0.3374121536925639,0.52836271206589,0.5296174233183633,0.039991297950750015,6.709090091199453,0.6319478173049046,10,10,1e-12,0.02382518414853894,6.709090091199453,0.0023825184148539027,0.6709090091199456,0.1,0.1,CLARABEL,1.9.2,optimal,optimal,0.5301143944047833,0.530114394366447,-3.833622308491158e-11,3.833622308491158e-11,-7.23168876207219e-11,7.23168876207219e-11,2.169492979309767e-15,5.212273558948499e-16,1.1541413566205808e-15,7.017768269141988e-11,7.807169940521359e-11,1.8201585262041438e-10,0.5301143943683746,0.5301143951528484,7.844738192375189e-10,1.4798198784844747e-09,0.9999999999937441,5.684341887339435e-13,7.864013359382167e-11,5.684416518405816e-13,4.627227532132615e-16,3.0218917128262417e-16,0.0,5.684228670262807e-13,0.0,3.0218917128262417e-16,11,12,0.4946644000010565,0.17372189997695386,0.5301143943683746,0.5301143951528484,0.5301143951528484,optimal,0.0004969710500113411,0.0004969718344851604,0.0004969718344851604,0.19270224146028453,0.556072303731125,0.5532178569000029
5,15,0.8,0.3374121536925639,0.48527288930006834,0.4865196925791108,0.03805622884912707,9.206325380037992,0.6007428213101078,15,15,1e-12,0.018910955607415465,9.206325380037992,0.001260730373827692,0.6137550253358659,0.06666666666666667,0.06666666666666667,CLARABEL,1.9.2,optimal,optimal,0.48694609366779806,0.4869460962128531,2.5450550555916607e-09,2.5450550555916607e-09,5.226564258418691e-09,5.226564258418691e-09,6.942015703916954e-16,1.4245925361759834e-16,3.288332326726599e-16,2.0161802667601479e-10,3.526867747297656e-11,2.54505518004797e-09,0.48694609355829765,0.48694609675467304,3.196375386593786e-09,6.564125718200074e-09,0.999999999986354,8.526512835538563e-13,3.612132875588868e-11,8.526478317771308e-13,6.479038331642483e-16,2.8106066293230194e-16,0.0,8.526389978169512e-13,0.0,2.8106066293230194e-16,12,14,2.280308000044897,1.3934214999899268,0.48694609355829765,0.48694609675467304,0.48694609675467304,optimal,0.00042640097918683617,0.00042640417556222276,0.00042640417556222276,0.14953394306210915,0.5169386642069801,0.5137447832264187
6,21,0.8,0.3374121536925639,0.45654860241797485,0.4577648184481883,0.038490021038264086,11.855440503725848,0.5890764047207298,21,21,1e-12,0.01666034617763793,11.855440503725848,0.0007933498179827558,0.5645447858917069,0.047619047619047616,0.047619047619047616,CLARABEL,1.9.2,optimal,optimal,0.4581287223323294,0.4581287249127663,2.5804369196968935e-09,2.5804369196968935e-09,5.632558681963183e-09,5.632558681963183e-09,9.11023647908108e-16,1.6319055892627974e-16,3.5893385013089756e-16,1.2161916183137997e-10,1.596151586561747e-11,2.5804368844860693e-09,0.4581287222147477,0.45812872527302606,3.058278352785493e-09,6.675587437069757e-09,0.9999999999737352,1.193711797281938e-12,1.715522766169444e-11,1.1937149293399299e-12,8.882599958146158e-16,4.772531217103687e-16,0.0,1.1937053386469626e-12,0.0,4.772531217103687e-16,14,14,14.164131099940278,9.998836599988863,0.4581287222147477,0.45812872527302606,0.45812872527302606,optimal,0.0003639037665594258,0.0003639068248377786,0.0003639068248377786,0.12071657158046217,0.48975742179326137,0.48644443589700204
7,28,0.8,0.3374121536925639,0.4362309847797374,0.4374111656818704,0.041855706921175,14.597208041665333,0.5961461238846727,28,28,1e-12,0.015422509823483569,14.597208041665333,0.0005508039222672744,0.5213288586309047,0.03571428571428571,0.03571428571428571,CLARABEL,1.9.2,optimal,optimal,0.4377253454454839,0.43772535202400475,6.578520839184421e-09,6.578520839184421e-09,1.5028877944125908e-08,1.5028877944125908e-08,7.973413465236236e-13,1.2673305479030158e-13,5.246956427206901e-13,3.57289904149146e-10,6.601107033340477e-11,6.57851164931399e-09,0.4377253450626825,0.43772535391687994,8.854197430796518e-09,2.0227746556412812e-08,0.9999999999538309,1.591615734910986e-12,6.76026860615074e-11,1.5916237256137577e-12,1.201133806172566e-15,4.725335791560849e-16,0.0,1.5915986245118485e-12,0.0,4.725335791560849e-16,16,15,88.55829209997319,81.27041270001791,0.4377253450626825,0.43772535391687994,0.43772535391687994,optimal,0.0003141793808121296,0.0003141882350095604,0.0003141882350095604,0.10031320022431606,0.469756638217088,0.4664405098659452
3,6,0.9,0.16039300757163244,0.45383142786811953,0.4548752427256974,0.03995938886742137,5.177389872840252,0.5447545358336121,6,6,1e-12,0.00987876406084378,5.177389872840252,0.0016464606768073495,0.8628983121400415,0.16666666666666666,0.16666666666666666,CLARABEL,1.9.2,optimal,optimal,0.45581866822354766,0.45581867157992884,3.3563811729919735e-09,3.3563811729919735e-09,7.3634131171404525e-09,7.3634131171404525e-09,7.530139995529638e-15,2.1829721370483153e-15,6.45546302797802e-15,6.800947905831957e-10,4.482904129760088e-11,3.356382447488581e-09,0.45581866802688054,0.45581867185094943,3.82406889487541e-09,8.389452093719373e-09,0.9999999999976092,3.4106051356052376e-13,4.517010181076573e-11,3.410581950538796e-13,2.8786285705167973e-16,2.276066330702822e-16,0.0,3.410543345926294e-13,0.0,2.276066330702822e-16,10,10,0.042175999958999455,0.03237999998964369,0.45581866802688054,0.45581867185094943,0.45581867185094943,optimal,0.0009434253011831317,0.0009434291252520266,0.0009434291252520266,0.295425664279317,0.4749527957250572,0.4727567696876298
4,10,0.9,0.16039300757163244,0.37096578747485554,0.37200141835533035,0.042975862950372604,8.22224425892467,0.49419673652290697,10,10,1e-12,0.005565963004593722,8.22224425892467,0.0005565963004593566,0.822224425892467,0.1,0.1,CLARABEL,1.9.2,optimal,optimal,0.3728039555096656,0.37280395542919653,-8.046907584713381e-11,8.046907584713381e-11,-2.1584823515568106e-10,2.1584823515568106e-10,2.1929759158805525e-15,5.268692035773121e-16,1.294649130192627e-15,1.4531081936680258e-11,9.957187160342952e-11,1.9315001587741494e-10,0.3728039555041037,0.3728039564305996,9.264958800159206e-10,2.4852093578563275e-09,0.9999999999937441,5.684341886293388e-13,1.001403057920376e-10,5.68430046508113e-13,5.822087732385041e-16,2.9446739057946513e-16,0.0,5.684239728545672e-13,0.0,2.9446739057946513e-16,12,12,0.5418721999740228,0.17090909997932613,0.3728039555041037,0.3728039564305996,0.3728039564305996,optimal,0.0008025371487733746,0.0008025380752692546,0.0008025380752692546,0.21241094885896716,0.4007863982501146,0.39773742010612206
5,15,0.9,0.16039300757163244,0.32182389648390414,0.32283324929704543,0.04254835089710636,11.796408653357716,0.4679600381391005,15,15,1e-12,0.004325449821945852,11.796408653357716,0.00028836332146304274,0.7864272435571811,0.06666666666666667,0.06666666666666667,CLARABEL,1.9.2,optimal,optimal,0.3235023807629893,0.3235023817741749,1.0111855797134695e-09,1.0111855797134695e-09,3.1257438530999578e-09,3.1257438530999578e-09,5.596524788388663e-13,1.1484801795484013e-13,3.5952237282168047e-13,6.875336040015977e-11,2.3656312876512307e-11,1.0111853616404134e-09,0.3235023807446435,0.3235023821418094,1.397165882988105e-09,4.3188735636349655e-09,0.9999999999863545,8.526512830346818e-13,2.4508964159424427e-11,8.526522856256316e-13,7.15918980919639e-16,3.6671600894884196e-16,0.0,8.526378287196285e-13,0.0,3.6671600894884196e-16,12,14,2.385067699942738,1.2910275999456644,0.3235023807446435,0.3235023821418094,0.3235023821418094,optimal,0.0006691314475980592,0.0006691328447639422,0.0006691328447639422,0.16310937457017693,0.3550869169784818,0.3516227492005708
6,21,0.9,0.16039300757163244,0.2897224432089092,0.2907206620774081,0.04441087644112364,15.829338663471315,0.46641600664074334,21,21,1e-12,0.00377931464630399,15.829338663471315,0.00017996736410972258,0.753778031593872,0.047619047619047616,0.047619047619047616,CLARABEL,1.9.2,optimal,optimal,0.29129702557544945,0.2912970265622809,9.868314498895359e-10,9.868314498895359e-10,3.38771549853118e-09,3.38771549853118e-09,4.744981189577967e-13,8.499627141402337e-14,3.825554034616042e-13,5.673743716750441e-11,2.512769088149048e-11,9.868465471920087e-10,0.29129702553006986,0.2912970271150304,1.5849605516926601e-09,5.441046109195944e-09,0.9999999999737337,1.1937117966370762e-12,2.6321402677567448e-11,1.1937102877950795e-12,7.809234220274144e-16,3.581651854670959e-16,0.0,1.193696240999846e-12,0.0,3.581651854670959e-16,13,16,11.035277599934489,10.58836700010579,0.29129702553006986,0.2912970271150304,0.2912970271150304,optimal,0.0005763634526617656,0.0005763650376223173,0.0005763650376223173,0.13090401954339798,0.32406536223271537,0.32042740338448433
7,28,0.9,0.16039300757163244,0.2673062371499027,0.26830344869449807,0.049606271526399834,20.25796423434646,0.49057835203356026,28,28,1e-12,0.003484628865164206,20.25796423434646,0.00012445103089873589,0.72349872265523,0.03571428571428571,0.03571428571428571,CLARABEL,1.9.2,optimal,optimal,0.2688154968272736,0.26881549746438327,6.371096428203771e-10,6.371096428203771e-10,2.3700629226549186e-09,2.3700629226549186e-09,1.4131281560735137e-13,2.246090069331133e-14,1.08669807931138e-13,3.440650724788022e-11,1.91746031556688e-11,6.371185813419474e-10,0.26881549678421685,0.2688154980458374,1.2616205302684591e-09,4.693258172986321e-09,0.9999999999538312,1.591615728823411e-12,2.0766218883771425e-11,1.5916176727511715e-12,1.3770564600178935e-15,5.430235252521759e-16,0.0,1.591607766725982e-12,0.0,5.430235252521759e-16,14,15,69.30253119999543,49.475471700076014,0.26881549678421685,0.2688154980458374,0.2688154980458374,optimal,0.0005120480897187751,0.0005120493513393054,0.0005120493513393054,0.10842249047420494,0.3016107017151069,0.2979307998649721
