c,pi0,N,i,rank,hypothesis_count,rank_threshold,gram_lambda_min,gram_lambda_max,weighted_gram_lambda_min,weighted_gram_lambda_max,prior_min,prior_max,solver,cvxpy_version,primal_status,dual_status,primal_objective,dual_objective,signed_gap,absolute_gap,relative_signed_gap,relative_gap,primal_equality_residual_fro_raw,primal_equality_residual_fro,primal_equality_residual_op,primal_psd_violation,dual_psd_violation,complementarity_residual,primal_feasible_objective,dual_feasible_objective,feasible_bound_gap,relative_feasible_bound_gap,primal_safety_contraction,primal_regularization_floor,dual_safety_shift,dual_feasible_min_slack,primal_feasible_equality_residual_fro,primal_feasible_equality_residual_op,primal_feasible_psd_violation,primal_feasible_min_eigenvalue,dual_feasible_psd_violation,primal_feasible_combined_violation,primal_iterations,dual_iterations,primal_solve_time_seconds,dual_solve_time_seconds
0.8,0.2,5,1,6,6,1e-12,0.0803636664211972,4.479636333578805,0.015271868459247051,0.7543281315407532,0.16,0.2,CLARABEL,1.9.2,optimal,optimal,0.6355944460402339,0.6355944459790603,-6.117351070145105e-11,6.117351070145105e-11,-9.624613790366972e-11,9.624613790366972e-11,2.0038872059193817e-16,5.809227901349173e-17,1.4824419266290794e-16,9.76885279227673e-11,1.3411478871905302e-10,2.629483245024551e-10,0.6355944459961702,0.6355944467857955,7.896252540717796e-10,1.2423413366108072e-09,0.9999999999976104,3.4106051329959795e-13,1.3445584923221787e-10,3.410605131648481e-13,2.737127597257086e-16,2.3659862306517135e-16,0.0,3.410069118306324e-13,0.0,2.3659862306517135e-16,11,11,0.011294799973256886,0.00850740005262196
0.8,0.2,5,2,6,6,1e-12,0.18552621871209282,3.7545085257070534,0.03007965405225019,0.6330562051389106,0.16,0.2,CLARABEL,1.9.2,optimal,optimal,0.74045893285933,0.7404589332416442,3.823142913361721e-10,3.823142913361721e-10,5.163207225566749e-10,5.163207225566749e-10,4.126162952233366e-16,1.196166175262844e-16,2.780356918534773e-16,6.081101258118727e-11,5.450738696729067e-11,3.823144008854446e-10,0.740458932832532,0.740458933570735,7.382030542402163e-10,9.969534043546977e-10,0.9999999999976106,3.410605131987419e-13,5.484844748045552e-11,3.4104785777492576e-13,2.924231343973887e-16,2.267817352947957e-16,0.0,3.41054615470588e-13,0.0,2.267817352947957e-16,9,10,0.010903700022026896,0.008371599949896336
0.8,0.5,3,1,4,4,1e-12,0.11369727773288657,3.1663027222671127,0.03552503167686662,0.8444749683231338,0.16666666666666666,0.5,CLARABEL,1.9.2,optimal,optimal,0.7210173048832006,0.7210173053125168,4.293162492174929e-10,4.293162492174929e-10,5.954312693774039e-10,5.954312693774039e-10,4.0601424381097144e-16,1.3533808127032381e-16,3.255312957206704e-16,0.0,9.424549465833682e-11,4.2931611357721014e-10,0.721017304882722,0.7210173056904083,8.076863622363817e-10,1.1202038513005874e-09,0.9999999999988625,2.2737367544323206e-13,9.447286833378006e-11,2.273793099063972e-13,2.1305342376215564e-16,1.988567009298073e-16,0.0,2.519502537705851e-10,0.0,1.988567009298073e-16,8,8,0.006850400008261204,0.0051367999985814095
0.8,0.5,3,2,4,4,1e-12,0.23962645529874033,2.809973544701259,0.043420656173242325,0.7555566024990223,0.16666666666666666,0.5,CLARABEL,1.9.2,optimal,optimal,0.812504689429769,0.8125046909443819,1.5146129905829753e-09,1.5146129905829753e-09,1.8641283045815314e-09,1.8641283045815314e-09,2.5814177514652363e-16,8.604725838217455e-17,2.2909819333806383e-16,2.7114540335261986e-10,5.847351055816376e-10,1.9412531478838746e-09,0.812504689401615,0.8125046932842319,3.882616894657076e-09,4.778577817489044e-09,0.9999999999988611,2.2737367550488337e-13,5.849624792570809e-10,2.2739126242057594e-13,1.6653345369377348e-16,1.4163045872474636e-16,0.0,2.2725788199455845e-13,0.0,1.4163045872474636e-16,9,10,0.006849600002169609,0.00503300002310425
0.8,0.5,5,1,6,6,1e-12,0.0803636664211972,4.479636333578805,0.021571654531822623,0.8344283454681773,0.1,0.5,CLARABEL,1.9.2,optimal,optimal,0.7041384583674971,0.7041384586142864,2.467892556978768e-10,2.467892556978768e-10,3.5048398893989557e-10,3.5048398893989557e-10,4.3325044397535356e-16,1.255984149197066e-16,2.895866362040373e-16,1.2350226941524622e-11,9.472357000822739e-11,2.467893694964621e-10,0.7041384583393677,0.7041384591846742,8.4530649147041e-10,1.2004833437965925e-09,0.9999999999976115,3.4106051318542673e-13,9.506463052139223e-11,3.4108752669989725e-13,2.220446049250313e-16,1.3993213064118925e-16,0.0,3.4105571525800794e-13,0.0,1.3993213064118925e-16,8,8,0.01064530003350228,0.007749499985948205
0.8,0.5,5,2,6,6,1e-12,0.18552621871209282,3.7545085257070534,0.019089921398837237,0.735573887399556,0.1,0.5,CLARABEL,1.9.2,optimal,optimal,0.7957491583146586,0.7957491577511928,-5.634658295505801e-10,5.634658295505801e-10,-7.080947857280241e-10,7.080947857280241e-10,1.6851082996442585e-16,4.88509439162631e-17,9.807453594802872e-17,2.2487860730955806e-10,5.716350533055755e-10,1.0761558434074698e-09,0.7957491580876194,0.7957491611830496,3.0954302454588856e-09,3.889957291161223e-09,0.9999999999976104,3.4106051334487377e-13,5.719761138187404e-10,3.4108914210491626e-13,4.0136877412466863e-16,2.481358006510811e-16,0.0,3.410466061668363e-13,0.0,2.481358006510811e-16,10,9,0.011278899968601763,0.008774199988692999
0.95,0.2,3,1,4,4,1e-12,0.025799104811851215,3.7792008951881493,0.005517342903710158,0.9424826570962898,0.2,0.26666666666666666,CLARABEL,1.9.2,optimal,optimal,0.485005975794119,0.48500597631327474,5.191557184147655e-10,5.191557184147655e-10,1.0704109723326125e-09,1.0704109723326125e-09,4.4104299607080356e-16,1.4701433202360119e-16,3.406781548474101e-16,0.0,1.852325804788711e-10,5.191557010501136e-10,0.4850059757938404,0.4850059770551146,1.2612741961959273e-09,2.6005333078453847e-09,0.9999999999988631,2.2737367544323216e-13,1.8545995415431433e-10,2.2736900193894558e-13,7.850462293418876e-17,5.551115123125783e-17,0.0,1.5354374705006704e-11,0.0,5.551115123125783e-17,9,9,0.0069691999815404415,0.005202400032430887
0.95,0.2,3,2,4,4,1e-12,0.052966992708605984,3.6640392572913925,0.012871885471887584,0.9148089722094686,0.2,0.26666666666666666,CLARABEL,1.9.2,optimal,optimal,0.5297816599773052,0.5297816621257431,2.148437872051545e-09,2.148437872051545e-09,4.055326996006753e-09,4.055326996006753e-09,2.782487803465936e-16,9.274959344886453e-17,2.5255951881822843e-16,5.743256188434771e-10,5.247434276608641e-11,2.148437927727762e-09,0.5297816598685288,0.5297816623365499,2.4680211208050196e-09,4.6585627665343695e-09,0.999999999998862,2.2737367557381876e-13,5.270171644152964e-11,2.2737522359281215e-13,2.330476870336199e-16,2.297024240245224e-16,0.0,4.556307111880626e-13,0.0,2.297024240245224e-16,9,10,0.0067853000946342945,0.005073999986052513
0.95,0.2,5,1,6,6,1e-12,0.017433857286969674,5.592566142713029,0.0033395398103077526,0.9342604601896923,0.16,0.2,CLARABEL,1.9.2,optimal,optimal,0.38713468432490994,0.38713468399294304,-3.3196689841474836e-10,3.3196689841474836e-10,-8.574971760434396e-10,8.574971760434396e-10,2.390201332990179e-16,6.929144630711888e-17,1.882502244236529e-16,0.0,1.2249032255878545e-10,3.8550574653131543e-10,0.3871346843243946,0.3871346847299313,4.0553671531995406e-10,1.0475339243118114e-09,0.9999999999976112,3.410605131648482e-13,1.228313830719503e-10,3.410666018494312e-13,3.284572184799348e-16,2.394499618270796e-16,0.0,1.8093988463663718e-11,0.0,2.394499618270796e-16,10,9,0.011165599920786917,0.008067599963396788
0.95,0.2,5,2,6,6,1e-12,0.031883746212690564,5.337981885948697,0.0051613321552909045,0.8921497315620593,0.16,0.2,CLARABEL,1.9.2,optimal,optimal,0.44703074243019036,0.44703074342112054,9.90930171251847e-10,9.90930171251847e-10,2.21669356511493e-09,2.21669356511493e-09,4.941739743737033e-16,1.43260021401016e-16,3.6222176648367147e-16,1.7871404554774763e-10,2.332503152582066e-10,9.909302511078104e-10,0.4470307423875216,0.4470307448226688,2.4351471950012638e-09,5.447381930296188e-09,0.9999999999976126,3.410605132542322e-13,2.3359137577137145e-10,3.4110482112822927e-13,2.8168832724973556e-16,2.2959483007318664e-16,0.0,3.4101099026495434e-13,0.0,2.2959483007318664e-16,11,11,0.027686099987477064,0.008721500053070486
0.95,0.5,3,1,4,4,1e-12,0.025799104811851215,3.7792008951881493,0.008472120754605472,0.9590278792453948,0.16666666666666666,0.5,CLARABEL,1.9.2,optimal,optimal,0.5684303329949012,0.5684303346677914,1.6728901597318213e-09,1.6728901597318213e-09,2.9429994498290955e-09,2.9429994498290955e-09,2.9504581591051765e-16,9.834860530350588e-17,2.637573627721793e-16,0.0,2.3758050386189046e-11,1.6728901595631559e-09,0.5684303329945959,0.5684303347637331,1.7691371700934155e-09,3.112320129047677e-09,0.9999999999988618,2.2737367544323226e-13,2.3985424061632278e-11,2.2739171851307646e-13,2.3055512673781017e-16,2.296209669370793e-16,0.0,1.3263735584818725e-10,0.0,2.296209669370793e-16,7,8,0.006699300021864474,0.0048656000290066
0.95,0.5,3,2,4,4,1e-12,0.052966992708605984,3.6640392572913925,0.009884964945214743,0.9306310791462642,0.16666666666666666,0.5,CLARABEL,1.9.2,optimal,optimal,0.6124396961435195,0.6124396958834174,-2.601020510084595e-10,2.601020510084595e-10,-4.246982236806863e-10,4.246982236806863e-10,3.1492960221020736e-14,1.0497653407006913e-14,3.072556696650543e-14,2.130935841813718e-11,2.1358611149889503e-10,3.1818863671356495e-10,0.6124396961201355,0.6124396967386714,6.185358891741544e-10,1.009953947760559e-09,0.9999999999988618,2.273736754566842e-13,2.1381348517433826e-10,2.2737093680766346e-13,7.076311083754595e-17,5.003707553108402e-17,0.0,2.2738688538394287e-13,0.0,5.003707553108402e-17,9,10,0.006715100025758147,0.004966599983163178
0.95,0.5,5,1,6,6,1e-12,0.017433857286969674,5.592566142713029,0.0050999053428787125,0.9559000946571217,0.1,0.5,CLARABEL,1.9.2,optimal,optimal,0.5591845533950209,0.5591845545448615,1.149840556102788e-09,1.149840556102788e-09,2.0562809683126502e-09,2.0562809683126502e-09,3.670527024109472e-16,1.0640782544110286e-16,2.5298947353313537e-16,6.433243227576101e-11,3.1041050657581047e-11,1.1498406057097573e-09,0.5591845532616853,0.5591845547331542,1.4714689466899245e-09,2.6314549215833925e-09,0.999999999997611,3.4106051327419784e-13,3.1382111170745895e-11,3.410597943685706e-13,3.797872464037271e-16,2.471262613862189e-16,0.0,3.410594510467436e-13,0.0,2.471262613862189e-16,8,9,0.010702800005674362,0.008032800047658384
0.95,0.5,5,2,6,6,1e-12,0.031883746212690564,5.337981885948697,0.0032941408243832818,0.9222003891819006,0.1,0.5,CLARABEL,1.9.2,optimal,optimal,0.5974282111452099,0.5974282113062148,1.610048760980476e-10,1.610048760980476e-10,2.694966074128342e-10,2.694966074128342e-10,5.329187972141748e-16,1.5449206605965898e-16,3.540293447472545e-16,1.6277743431154734e-11,1.263664103423936e-10,1.6100479972268485e-10,0.59742821111185,0.5974282120664597,9.54609724601596e-10,1.5978651595014923e-09,0.9999999999976099,3.4106051319091114e-13,1.2670747085555846e-10,3.411258851689386e-13,1.7116719685439388e-16,1.3093611856613883e-16,0.0,3.4105912627365545e-13,0.0,1.3093611856613883e-16,11,12,0.011708099977113307,0.008943299995735288
