method,m,n,candidate_count,c,target_p1_power_2m,correlation_length,n_over_correlation_length,gram_bytes,estimated_peak_bytes,trace_lower_bound,srm,q_l1,lambda_min,lambda_max,numerical_rank,condition_number_on_support,helstrom_upper,srm_minus_target,runtime_seconds
exact_dense_eigh,1,10,55,0.5,0.7461326723476368,1.4426950408889634,6.931471805599453,24200,96800,0.7792310477348721,0.7795466742500676,0.01855445352236649,0.12219469717346025,6.649113741703189,55,54.414094027865275,0.8270753305440024,0.03341400190243082,0.0016198998782783747
exact_dense_eigh,1,20,210,0.5,0.7461326723476368,1.4426950408889634,13.862943611198906,352800,1411200,0.7602945309017661,0.7604556987142568,0.01178224440713,0.11397330690642478,9.504293768054172,210,83.39052385184769,0.7966180529976495,0.014323026366619973,0.011557899881154299
exact_dense_eigh,1,30,465,0.5,0.7461326723476368,1.4426950408889634,20.79441541679836,1729800,6919200,0.7545178851753723,0.7546284124406002,0.007931716861858035,0.1124047807751805,12.533115037847505,465,111.49983969912137,0.7825978601104263,0.008495740092963389,0.04567019990645349
exact_dense_eigh,1,40,820,0.5,0.7461326723476368,1.4426950408889634,27.725887222397812,5379200,21516800,0.7518585525015132,0.7519454728228894,0.0062744199594989315,0.1118459403690158,15.741191905489027,820,140.73994866111155,0.7767524209570728,0.005812800475252566,0.18140430003404617
exact_dense_eigh,1,50,1275,0.5,0.7461326723476368,1.4426950408889634,34.657359027997266,13005000,52020000,0.7503720245402637,0.750445258059604,0.005213594344963343,0.11158438867610183,19.006765011494977,1275,170.3353420402408,0.7731016008119245,0.004312585711967243,0.5965099998284131
exact_dense_eigh,1,10,55,0.8,0.3374121536925639,4.481420117724551,2.231435513142097,24200,96800,0.40069108334730325,0.4017648140879616,0.04453945960780068,0.013803593604653972,22.972802696272172,55,1664.2624634013234,0.6141684981062385,0.06435266039539772,0.000629400135949254
exact_dense_eigh,1,20,210,0.8,0.3374121536925639,4.481420117724551,4.462871026284194,352800,1411200,0.3629765601106973,0.3637966351944323,0.03589460882282768,0.012708289279960077,47.72215090904285,210,3755.1986626789135,0.6109409004879967,0.026384481501868395,0.006023499881848693
exact_dense_eigh,1,30,465,0.8,0.3374121536925639,4.481420117724551,6.694306539426291,1729800,6919200,0.3521895800150219,0.35286050965291155,0.02997469176978013,0.012507983923202933,66.93900241776454,465,5351.701987207495,0.5974312946351548,0.01544835596034766,0.03975170012563467
exact_dense_eigh,1,40,820,0.8,0.3374121536925639,4.481420117724551,8.925742052568388,5379200,21516800,0.34736820938431057,0.3479406089836476,0.0250233977413993,0.012437464400858658,84.05329191167564,820,6758.072964283039,0.5767841772669517,0.010528455291083705,0.16014600009657443
exact_dense_eigh,1,50,1275,0.8,0.3374121536925639,4.481420117724551,11.157177565710485,13005000,52020000,0.34472014946802676,0.34522167595864944,0.021528194729411542,0.012404645977527636,101.05071951438462,1275,8146.199391538379,0.5611301460621894,0.007809522266085556,0.5341642000712454
