c,pi0,N,i,rank,hypothesis_count,rank_threshold,weighted_gram_lambda_min,weighted_gram_lambda_max,solver,cvxpy_version,primal_status,dual_status,primal_objective,dual_objective,signed_gap,absolute_gap,relative_signed_gap,relative_gap,primal_equality_residual_fro_raw,primal_equality_residual_fro,primal_equality_residual_op,primal_psd_violation,dual_psd_violation,complementarity_residual,primal_feasible_objective,dual_feasible_objective,feasible_bound_gap,relative_feasible_bound_gap,primal_safety_contraction,primal_regularization_floor,dual_safety_shift,dual_feasible_min_slack,primal_feasible_equality_residual_fro,primal_feasible_equality_residual_op,primal_feasible_psd_violation,primal_feasible_min_eigenvalue,dual_feasible_psd_violation,primal_feasible_combined_violation,primal_iterations,dual_iterations,primal_solve_time_seconds,dual_solve_time_seconds,gram_lambda_min,gram_lambda_max,prior_min,prior_max
0.8,0.2,5,1,6,6,1e-12,0.015271868459247051,0.7543281315407532,CLARABEL,1.9.2,optimal,optimal,0.6355944460402339,0.6355944459790603,-6.117351070145105e-11,6.117351070145105e-11,-9.624613790366972e-11,9.624613790366972e-11,2.0038872059193817e-16,5.809227901349173e-17,1.4824419266290794e-16,9.76885279227673e-11,1.3411478871905302e-10,2.629483245024551e-10,0.6355944458645886,0.6355944467857955,9.212068885489089e-10,1.4493627089963395e-09,0.9999999996028626,3.4106235945670525e-13,1.3445584923221787e-10,3.410605131648481e-13,3.362321931872835e-16,2.7030111307602167e-16,0.0,3.4107640814827787e-13,0.0,2.7030111307602167e-16,11,11,0.02060770010575652,0.01395369996316731,0.0803636664211972,4.479636333578805,0.16,0.2
0.8,0.2,5,2,6,6,1e-12,0.03007965405225019,0.6330562051389106,CLARABEL,1.9.2,optimal,optimal,0.74045893285933,0.7404589332416442,3.823142913361721e-10,3.823142913361721e-10,5.163207225566749e-10,5.163207225566749e-10,4.126162952233366e-16,1.196166175262844e-16,2.780356918534773e-16,6.081101258118727e-11,5.450738696729067e-11,3.823144008854446e-10,0.7404589327917941,0.740458933570735,7.78940911771997e-10,1.0519704427433953e-09,0.9999999998982347,3.410628675272146e-13,5.484844748045552e-11,3.4104785777492576e-13,1.8619006149354548e-16,1.144280019181282e-16,0.0,3.410472950738253e-13,0.0,1.144280019181282e-16,9,10,0.023355300072580576,0.01478650001809001,0.18552621871209282,3.7545085257070534,0.16,0.2
0.8,0.5,3,1,4,4,1e-12,0.03552503167686662,0.8444749683231338,CLARABEL,1.9.2,optimal,optimal,0.7210173048832006,0.7210173053125168,4.293162492174929e-10,4.293162492174929e-10,5.954312693774039e-10,5.954312693774039e-10,4.0601424381097144e-16,1.3533808127032381e-16,3.255312957206704e-16,0.0,9.424549465833682e-11,4.2931611357721014e-10,0.7210173048827722,0.7210173056904083,8.076361801556686e-10,1.1201342523043176e-09,0.9999999999990901,2.2737367544323206e-13,9.447286833378006e-11,2.273793099063972e-13,1.463195806132878e-16,1.362520916937628e-16,0.0,2.519502501982187e-10,0.0,1.362520916937628e-16,8,8,0.010038699954748154,0.0072553998325020075,0.11369727773288657,3.1663027222671127,0.16666666666666666,0.5
0.8,0.5,3,2,4,4,1e-12,0.043420656173242325,0.7555566024990223,CLARABEL,1.9.2,optimal,optimal,0.812504689429769,0.8125046909443819,1.5146129905829753e-09,1.5146129905829753e-09,1.8641283045815314e-09,1.8641283045815314e-09,2.5814177514652363e-16,8.604725838217455e-17,2.2909819333806383e-16,2.7114540335261986e-10,5.847351055816376e-10,1.9412531478838746e-09,0.8125046893453824,0.8125046932842319,3.938849468809735e-09,4.847786740081255e-09,0.9999999997279447,2.2737367550488337e-13,5.849624792570809e-10,2.2739126242057594e-13,1.2412670766236366e-16,1.1793734150748884e-16,0.0,2.2723574306370698e-13,0.0,1.1793734150748884e-16,9,10,0.01009549992159009,0.008253199979662895,0.23962645529874033,2.809973544701259,0.16666666666666666,0.5
0.8,0.5,5,1,6,6,1e-12,0.021571654531822623,0.8344283454681773,CLARABEL,1.9.2,optimal,optimal,0.7041384583674971,0.7041384586142864,2.467892556978768e-10,2.467892556978768e-10,3.5048398893989557e-10,3.5048398893989557e-10,4.3325044397535356e-16,1.255984149197066e-16,2.895866362040373e-16,1.2350226941524622e-11,9.472357000822739e-11,2.467893694964621e-10,0.7041384583274111,0.7041384591846742,8.572631493564131e-10,1.2174638932105574e-09,0.9999999999376161,3.410688803467599e-13,9.506463052139223e-11,3.4108752669989725e-13,3.5723512276924735e-16,2.515426865651903e-16,0.0,3.410627347032026e-13,0.0,2.515426865651903e-16,8,8,0.016010599909350276,0.011468099895864725,0.0803636664211972,4.479636333578805,0.1,0.5
0.8,0.5,5,2,6,6,1e-12,0.019089921398837237,0.735573887399556,CLARABEL,1.9.2,optimal,optimal,0.7957491583146586,0.7957491577511928,-5.634658295505801e-10,5.634658295505801e-10,-7.080947857280241e-10,7.080947857280241e-10,1.6851082996442585e-16,4.88509439162631e-17,9.807453594802872e-17,2.2487860730955806e-10,5.716350533055755e-10,1.0761558434074698e-09,0.795749157946098,0.7957491611830496,3.2369515956531814e-09,4.067803976600377e-09,0.9999999994701122,3.4107187092133527e-13,5.719761138187404e-10,3.4108914210491626e-13,3.0749839178014535e-16,2.2206096230350996e-16,0.0,3.4106426741399073e-13,0.0,2.2206096230350996e-16,10,9,0.01662639994174242,0.012477000011131167,0.18552621871209282,3.7545085257070534,0.1,0.5
0.95,0.2,3,1,4,4,1e-12,0.005517342903710158,0.9424826570962898,CLARABEL,1.9.2,optimal,optimal,0.485005975794119,0.48500597631327474,5.191557184147655e-10,5.191557184147655e-10,1.0704109723326125e-09,1.0704109723326125e-09,4.4104299607080356e-16,1.4701433202360119e-16,3.406781548474101e-16,0.0,1.852325804788711e-10,5.191557010501136e-10,0.48500597579390503,0.4850059770551146,1.2612095812158941e-09,2.6004000827239266e-09,0.9999999999990896,2.2737367544323216e-13,1.8545995415431433e-10,2.2736900193894558e-13,8.092071311423672e-17,5.551115123125783e-17,0.0,1.5354418573230576e-11,0.0,5.551115123125783e-17,9,9,0.010505500016734004,0.008258399786427617,0.025799104811851215,3.7792008951881493,0.2,0.26666666666666666
0.95,0.2,3,2,4,4,1e-12,0.012871885471887584,0.9148089722094686,CLARABEL,1.9.2,optimal,optimal,0.5297816599773052,0.5297816621257431,2.148437872051545e-09,2.148437872051545e-09,4.055326996006753e-09,4.055326996006753e-09,2.782487803465936e-16,9.274959344886453e-17,2.5255951881822843e-16,5.743256188434771e-10,5.247434276608641e-11,2.148437927727762e-09,0.5297816597875736,0.5297816623365499,2.5489762522923343e-09,4.811371249020512e-09,0.9999999994245368,2.2737367557381876e-13,5.270171644152964e-11,2.2737522359281215e-13,2.5438405243138006e-16,2.2204460492503128e-16,0.0,4.550466300490105e-13,0.0,2.2204460492503128e-16,9,10,0.01030289987102151,0.007598399883136153,0.052966992708605984,3.6640392572913925,0.2,0.26666666666666666
0.95,0.2,5,1,6,6,1e-12,0.0033395398103077526,0.9342604601896923,CLARABEL,1.9.2,optimal,optimal,0.38713468432490994,0.38713468399294304,-3.3196689841474836e-10,3.3196689841474836e-10,-8.574971760434396e-10,8.574971760434396e-10,2.390201332990179e-16,6.929144630711888e-17,1.882502244236529e-16,0.0,1.2249032255878545e-10,3.8550574653131543e-10,0.3871346843244585,0.3871346847299313,4.0547276647373565e-10,1.0473687393030592e-09,0.9999999999979525,3.410605131648482e-13,1.228313830719503e-10,3.410666018494312e-13,1.537874187973521e-16,1.3970264138337873e-16,0.0,1.8093947084198488e-11,0.0,1.3970264138337873e-16,10,9,0.01806210004724562,0.01443189987912774,0.017433857286969674,5.592566142713029,0.16,0.2
0.95,0.2,5,2,6,6,1e-12,0.0051613321552909045,0.8921497315620593,CLARABEL,1.9.2,optimal,optimal,0.44703074243019036,0.44703074342112054,9.90930171251847e-10,9.90930171251847e-10,2.21669356511493e-09,2.21669356511493e-09,4.941739743737033e-16,1.43260021401016e-16,3.6222176648367147e-16,1.7871404554774763e-10,2.332503152582066e-10,9.909302511078104e-10,0.4470307423373704,0.4470307448226688,2.4852984115142362e-09,5.559569329865032e-09,0.9999999997358756,3.410733963106435e-13,2.3359137577137145e-10,3.4110482112822927e-13,4.107450098641758e-16,2.8573673377733505e-16,0.0,3.409846537799896e-13,0.0,2.8573673377733505e-16,11,11,0.04425010015256703,0.016796400072053075,0.031883746212690564,5.337981885948697,0.16,0.2
0.95,0.5,3,1,4,4,1e-12,0.008472120754605472,0.9590278792453948,CLARABEL,1.9.2,optimal,optimal,0.5684303329949012,0.5684303346677914,1.6728901597318213e-09,1.6728901597318213e-09,2.9429994498290955e-09,2.9429994498290955e-09,2.9504581591051765e-16,9.834860530350588e-17,2.637573627721793e-16,0.0,2.3758050386189046e-11,1.6728901595631559e-09,0.5684303329946114,0.5684303347637331,1.7691216269710708e-09,3.1122927851122068e-09,0.9999999999990885,2.2737367544323226e-13,2.3985424061632278e-11,2.2739171851307646e-13,1.642041997679149e-16,1.30413784790343e-16,0.0,1.326373390867006e-10,0.0,1.30413784790343e-16,7,8,0.010244400007650256,0.007312299916520715,0.025799104811851215,3.7792008951881493,0.16666666666666666,0.5
0.95,0.5,3,2,4,4,1e-12,0.009884964945214743,0.9306310791462642,CLARABEL,1.9.2,optimal,optimal,0.6124396961435195,0.6124396958834174,-2.601020510084595e-10,2.601020510084595e-10,-4.246982236806863e-10,4.246982236806863e-10,3.1492960221020736e-14,1.0497653407006913e-14,3.072556696650543e-14,2.130935841813718e-11,2.1358611149889503e-10,3.1818863671356495e-10,0.6124396961138167,0.6124396967386714,6.248547235188084e-10,1.0202714278075208e-09,0.9999999999396996,2.2737512509423533e-13,2.1381348517433826e-10,2.2737093680766346e-13,2.3551386880256624e-16,2.220446049250313e-16,0.0,2.273660962126349e-13,0.0,2.220446049250313e-16,9,10,0.010654699988663197,0.008528799982741475,0.052966992708605984,3.6640392572913925,0.16666666666666666,0.5
0.95,0.5,5,1,6,6,1e-12,0.0050999053428787125,0.9559000946571217,CLARABEL,1.9.2,optimal,optimal,0.5591845533950209,0.5591845545448615,1.149840556102788e-09,1.149840556102788e-09,2.0562809683126502e-09,2.0562809683126502e-09,3.670527024109472e-16,1.0640782544110286e-16,2.5298947353313537e-16,6.433243227576101e-11,3.1041050657581047e-11,1.1498406057097573e-09,0.5591845532427924,0.5591845547331542,1.4903618339445757e-09,2.665241418625862e-09,0.9999999996773359,3.410636621439947e-13,3.1382111170745895e-11,3.410597943685706e-13,3.327953579238468e-16,2.6635996969488685e-16,0.0,3.4106367534563534e-13,0.0,2.6635996969488685e-16,8,9,0.018006599973887205,0.012856400106102228,0.017433857286969674,5.592566142713029,0.1,0.5
0.95,0.5,5,2,6,6,1e-12,0.0032941408243832818,0.9222003891819006,CLARABEL,1.9.2,optimal,optimal,0.5974282111452099,0.5974282113062148,1.610048760980476e-10,1.610048760980476e-10,2.694966074128342e-10,2.694966074128342e-10,5.329187972141748e-16,1.5449206605965898e-16,3.540293447472545e-16,1.6277743431154734e-11,1.263664103423936e-10,1.6100479972268485e-10,0.5974282111044548,0.5974282120664597,9.620049201686243e-10,1.610243543095583e-09,0.9999999999211944,3.410656732474444e-13,1.2670747085555846e-10,3.411258851689386e-13,3.390840864445248e-16,2.5527763761293546e-16,0.0,3.4106250899190683e-13,0.0,2.5527763761293546e-16,11,12,0.01772259990684688,0.01621009991504252,0.031883746212690564,5.337981885948697,0.1,0.5
